Cores,Time_Sec,Speedup,Efficiency,Parallel_Fraction,Theoretical_Max_Speedup
1,103.33,1.0,1.0,,
2,70.89,1.4576103822824094,0.7288051911412047,0.6278912222974935,2.6873862158647595
3,35.95,2.874269819193324,0.9580899397311079,0.9781283267202165,45.72123893805261
4,35.42,2.9172783738001127,0.7293195934500282,0.8762863318171554,8.083181225554108
5,30.45,3.393431855500821,0.6786863711001642,0.8816413432691378,8.448896156991012
6,30.08,3.435172872340426,0.5725288120567377,0.8506726023420109,6.696694750486061
7,25.27,4.089038385437277,0.5841483407767539,0.8813510113229458,8.428221859706355
8,21.94,4.709662716499544,0.588707839562443,0.9001949371638717,10.019531791106804
9,20.21,5.112815437902029,0.5680906042113365,0.9049646762798801,10.522403258655814
10,20.64,5.006298449612403,0.5006298449612403,0.8891684678000366,9.022703017366837
11,20.72,4.986969111969112,0.4533608283608284,0.8794251427465403,8.293603017898711
12,20.86,4.953499520613614,0.4127916267178012,0.8706791128159559,7.732702904959518
13,21.07,4.904129093497864,0.3772406994998357,0.8624310461627793,7.269081955680613
14,19.17,5.390193009911319,0.38501378642223705,0.8771300314898495,8.138685246894875
15,18.35,5.631062670299727,0.37540417801998177,0.8811574566921513,8.41449511400651
16,16.53,6.2510586811857225,0.39069116757410766,0.8960289041581987,9.618057710207884
